PYROEXPORT HEADER
RootFile,/Users/hperrey/TaggedNeutrons/Data/Data642.root
HistTitle,TDC c1_5_0
XAxis,
YAxis,
NBins,2048
DATA
lower bin edge,bin content,bin error
0.0,562.0,23.706539182259394
1.0,0.0,0.0
2.0,0.0,0.0
3.0,0.0,0.0
4.0,0.0,0.0
5.0,3.0,1.7320508075688772
6.0,1.0,1.0
7.0,1.0,1.0
8.0,1.0,1.0
9.0,2.0,1.4142135623730951
10.0,3.0,1.7320508075688772
11.0,3.0,1.7320508075688772
12.0,2.0,1.4142135623730951
13.0,4.0,2.0
14.0,2.0,1.4142135623730951
15.0,2.0,1.4142135623730951
16.0,2.0,1.4142135623730951
17.0,1.0,1.0
18.0,3.0,1.7320508075688772
19.0,1.0,1.0
20.0,2.0,1.4142135623730951
21.0,1.0,1.0
22.0,1.0,1.0
23.0,6.0,2.449489742783178
24.0,1.0,1.0
25.0,1.0,1.0
26.0,2.0,1.4142135623730951
27.0,2.0,1.4142135623730951
28.0,3.0,1.7320508075688772
29.0,3.0,1.7320508075688772
30.0,2.0,1.4142135623730951
31.0,4.0,2.0
32.0,1.0,1.0
33.0,2.0,1.4142135623730951
34.0,2.0,1.4142135623730951
35.0,0.0,0.0
36.0,3.0,1.7320508075688772
37.0,0.0,0.0
38.0,1.0,1.0
39.0,3.0,1.7320508075688772
40.0,1.0,1.0
41.0,4.0,2.0
42.0,1.0,1.0
43.0,3.0,1.7320508075688772
44.0,0.0,0.0
45.0,1.0,1.0
46.0,3.0,1.7320508075688772
47.0,2.0,1.4142135623730951
48.0,1.0,1.0
49.0,0.0,0.0
50.0,2.0,1.4142135623730951
51.0,5.0,2.23606797749979
52.0,0.0,0.0
53.0,2.0,1.4142135623730951
54.0,2.0,1.4142135623730951
55.0,1.0,1.0
56.0,2.0,1.4142135623730951
57.0,2.0,1.4142135623730951
58.0,1.0,1.0
59.0,5.0,2.23606797749979
60.0,2.0,1.4142135623730951
61.0,1.0,1.0
62.0,2.0,1.4142135623730951
63.0,4.0,2.0
64.0,2.0,1.4142135623730951
65.0,0.0,0.0
66.0,1.0,1.0
67.0,2.0,1.4142135623730951
68.0,5.0,2.23606797749979
69.0,3.0,1.7320508075688772
70.0,0.0,0.0
71.0,3.0,1.7320508075688772
72.0,2.0,1.4142135623730951
73.0,0.0,0.0
74.0,1.0,1.0
75.0,2.0,1.4142135623730951
76.0,4.0,2.0
77.0,2.0,1.4142135623730951
78.0,1.0,1.0
79.0,3.0,1.7320508075688772
80.0,4.0,2.0
81.0,1.0,1.0
82.0,1.0,1.0
83.0,3.0,1.7320508075688772
84.0,3.0,1.7320508075688772
85.0,1.0,1.0
86.0,2.0,1.4142135623730951
87.0,2.0,1.4142135623730951
88.0,3.0,1.7320508075688772
89.0,4.0,2.0
90.0,4.0,2.0
91.0,2.0,1.4142135623730951
92.0,5.0,2.23606797749979
93.0,2.0,1.4142135623730951
94.0,2.0,1.4142135623730951
95.0,4.0,2.0
96.0,4.0,2.0
97.0,6.0,2.449489742783178
98.0,3.0,1.7320508075688772
99.0,1.0,1.0
100.0,3.0,1.7320508075688772
101.0,4.0,2.0
102.0,1.0,1.0
103.0,1.0,1.0
104.0,1.0,1.0
105.0,3.0,1.7320508075688772
106.0,3.0,1.7320508075688772
107.0,2.0,1.4142135623730951
108.0,0.0,0.0
109.0,2.0,1.4142135623730951
110.0,3.0,1.7320508075688772
111.0,1.0,1.0
112.0,3.0,1.7320508075688772
113.0,1.0,1.0
114.0,4.0,2.0
115.0,2.0,1.4142135623730951
116.0,4.0,2.0
117.0,0.0,0.0
118.0,2.0,1.4142135623730951
119.0,2.0,1.4142135623730951
120.0,4.0,2.0
121.0,5.0,2.23606797749979
122.0,3.0,1.7320508075688772
123.0,0.0,0.0
124.0,1.0,1.0
125.0,1.0,1.0
126.0,2.0,1.4142135623730951
127.0,2.0,1.4142135623730951
128.0,1.0,1.0
129.0,0.0,0.0
130.0,2.0,1.4142135623730951
131.0,2.0,1.4142135623730951
132.0,2.0,1.4142135623730951
133.0,4.0,2.0
134.0,3.0,1.7320508075688772
135.0,6.0,2.449489742783178
136.0,1.0,1.0
137.0,2.0,1.4142135623730951
138.0,4.0,2.0
139.0,1.0,1.0
140.0,2.0,1.4142135623730951
141.0,3.0,1.7320508075688772
142.0,1.0,1.0
143.0,0.0,0.0
144.0,2.0,1.4142135623730951
145.0,3.0,1.7320508075688772
146.0,3.0,1.7320508075688772
147.0,3.0,1.7320508075688772
148.0,2.0,1.4142135623730951
149.0,0.0,0.0
150.0,1.0,1.0
151.0,3.0,1.7320508075688772
152.0,1.0,1.0
153.0,0.0,0.0
154.0,1.0,1.0
155.0,2.0,1.4142135623730951
156.0,4.0,2.0
157.0,0.0,0.0
158.0,2.0,1.4142135623730951
159.0,3.0,1.7320508075688772
160.0,2.0,1.4142135623730951
161.0,4.0,2.0
162.0,0.0,0.0
163.0,1.0,1.0
164.0,0.0,0.0
165.0,2.0,1.4142135623730951
166.0,2.0,1.4142135623730951
167.0,1.0,1.0
168.0,5.0,2.23606797749979
169.0,1.0,1.0
170.0,1.0,1.0
171.0,2.0,1.4142135623730951
172.0,3.0,1.7320508075688772
173.0,2.0,1.4142135623730951
174.0,2.0,1.4142135623730951
175.0,2.0,1.4142135623730951
176.0,1.0,1.0
177.0,0.0,0.0
178.0,2.0,1.4142135623730951
179.0,1.0,1.0
180.0,1.0,1.0
181.0,1.0,1.0
182.0,2.0,1.4142135623730951
183.0,2.0,1.4142135623730951
184.0,2.0,1.4142135623730951
185.0,1.0,1.0
186.0,2.0,1.4142135623730951
187.0,2.0,1.4142135623730951
188.0,2.0,1.4142135623730951
189.0,3.0,1.7320508075688772
190.0,3.0,1.7320508075688772
191.0,1.0,1.0
192.0,2.0,1.4142135623730951
193.0,3.0,1.7320508075688772
194.0,0.0,0.0
195.0,1.0,1.0
196.0,4.0,2.0
197.0,1.0,1.0
198.0,2.0,1.4142135623730951
199.0,2.0,1.4142135623730951
200.0,1.0,1.0
201.0,4.0,2.0
202.0,3.0,1.7320508075688772
203.0,2.0,1.4142135623730951
